"","Cluster","Klebsiella pneumoniae Ecl8","Klebsiella pneumoniae RH201207","Citrobacter rodentium ICC168","Salmonella Typhimurium SL1344","Salmonella Typhimurium SL3261","Salmonella Typhimurium D23580","Salmonella Typhimurium A130","Salmonella Enteritidis P125109","Salmonella Typhi Ty2","Escherichia coli ST131 EC958","Escherichia coli ST131 NCTC 13441","Escherichia coli BW25113","Escherichia coli BW25113 (EcoGene)"
"1366","Clust1365",0,1,0,0,0,0,0,0,0,0,0,0,0
"1463","Clust1462",0,0,0,0,0,0,0,0,0,1,0,0,0
"1522","Clust1521",0,0,0,0,0,0,0,0,0,1,1,0,0
"1524","Clust1523",0,0,0,0,0,0,0,0,0,1,0,0,0
"1532","Clust1531",0,0,0,0,0,0,0,0,0,1,0,0,0
"1564","Clust1563",0,0,0,0,0,0,0,0,0,1,0,0,0
"1565","Clust1564",0,0,0,0,0,0,0,0,0,1,0,0,0
"1593","Clust1592",0,0,0,0,0,0,0,0,0,1,1,0,0
"1608","Clust1607",0,0,0,0,0,0,0,0,0,1,1,0,0
"1629","Clust1628",0,0,0,0,0,0,0,0,0,1,1,0,0
"1660","Clust1659",0,0,0,0,0,0,0,0,0,1,1,0,0
"1671","Clust1670",0,0,0,0,0,0,0,0,0,1,1,0,0
"1692","Clust1691",0,0,0,0,0,0,0,0,0,1,1,0,0
"1699","Clust1698",0,0,0,0,0,0,0,0,0,1,1,0,0
"1701","Clust1700",0,0,0,0,0,0,0,0,0,1,0,0,0
"1736","Clust1735",0,0,0,0,0,0,0,0,0,1,0,0,0
"1771","Clust1770",0,0,0,0,0,0,0,0,0,1,0,0,0
"1844","Clust1843",0,0,0,0,0,0,0,0,0,0,1,0,0
"1848","Clust1847",0,0,0,0,0,0,0,0,0,1,1,0,0
"1849","Clust1848",0,0,0,0,0,0,0,0,0,1,0,0,0
"1857","Clust1856",0,0,0,0,0,0,0,0,0,1,1,0,0
"1878","Clust1877",0,0,0,0,0,0,0,0,0,0,0,1,0
"1881","Clust1880",0,0,0,0,0,0,0,0,0,0,0,1,0
"1896","Clust1895",0,0,0,0,0,0,0,0,0,0,0,1,0
"1909","Clust1908",0,0,0,0,0,0,0,0,0,0,0,1,0
"1949","Clust1948",0,0,0,0,0,0,0,0,0,0,0,1,0
"1974","Clust1973",0,0,0,0,0,0,0,0,0,0,0,1,0
"1975","Clust1974",0,0,0,0,0,0,0,0,0,0,0,1,0
"1978","Clust1977",0,0,0,0,0,0,0,0,0,0,0,1,0
"1979","Clust1978",0,0,0,0,0,0,0,0,0,0,0,1,0
"1982","Clust1981",0,0,0,0,0,0,0,0,0,0,0,1,1
"1985","Clust1984",0,0,0,0,0,0,0,0,0,0,0,1,0
"1995","Clust1994",0,0,0,0,0,0,0,0,0,0,0,1,0
"2000","Clust1999",0,0,0,0,0,0,0,0,0,0,0,0,1
"2034","Clust2033",0,0,0,0,0,0,0,0,0,0,0,1,0
"2045","Clust2044",0,0,0,0,0,0,0,0,0,0,0,1,0
"2047","Clust2046",0,0,0,0,0,0,0,0,0,0,0,1,0
"2048","Clust2047",0,0,0,0,0,0,0,0,0,0,0,0,1
"2070","Clust2069",0,0,0,0,0,0,0,0,0,0,0,1,0
"2075","Clust2074",0,0,0,0,0,0,0,0,0,0,0,1,0
"2079","Clust2078",0,0,0,0,0,0,0,0,0,0,0,1,0
"2084","Clust2083",0,0,0,0,0,0,0,0,0,0,0,1,0
"2098","Clust2097",0,0,0,0,0,0,0,0,0,0,0,1,0
"2102","Clust2101",0,0,0,0,0,0,0,0,0,0,0,1,0
"2105","Clust2104",0,0,0,0,0,0,0,0,0,0,0,1,0
"2106","Clust2105",0,0,0,0,0,0,0,0,0,0,0,1,0
"2110","Clust2109",0,0,0,0,0,0,0,0,0,0,0,1,0
"2111","Clust2110",0,0,0,0,0,0,0,0,0,0,0,1,0
"2113","Clust2112",0,0,0,0,0,0,0,0,0,0,0,1,0
"2114","Clust2113",0,0,0,0,0,0,0,0,0,0,0,1,0
"2116","Clust2115",0,0,0,0,0,0,0,0,0,0,0,1,0
"2123","Clust2122",0,0,0,0,0,0,0,0,0,0,0,1,0
"2126","Clust2125",0,0,0,0,0,0,0,0,0,0,0,1,0
